Date,Consumption
2021-01-01,8924.185152
2021-01-02,8973.955974583549
2021-01-03,8803.454671742249
2021-01-04,8724.233903813913
2021-01-05,8627.642933315767
2021-01-06,8709.250501308357
2021-01-07,8770.807305285114
2021-01-08,8908.396561981484
2021-01-09,8761.208054649798
2021-01-10,8733.845687359166
2021-01-11,8569.578546271363
2021-01-12,8473.132387277023
2021-01-13,8474.947429879896
2021-01-14,8314.444119205164
2021-01-15,8214.284218238186
2021-01-16,8263.53195311066
2021-01-17,8278.386967550052
2021-01-18,8185.814939103864
2021-01-19,8215.043433848694
2021-01-20,8316.722819503253
2021-01-21,8152.550298429708
2021-01-22,8252.278571741512
2021-01-23,8317.68263108068
2021-01-24,8264.532810917382
2021-01-25,8150.6407718038145
2021-01-26,8299.703952113025
2021-01-27,8245.455276124003
2021-01-28,8111.135438747019
2021-01-29,7980.2919152377235
2021-01-30,8091.216174531855
2021-01-31,8124.786964240487
2021-02-01,8224.601035882462
2021-02-02,8300.179127515146
2021-02-03,8312.207113456026
2021-02-04,8469.512562209527
2021-02-05,8428.36237748511
2021-02-06,8445.907069434063
2021-02-07,8557.19191673482
2021-02-08,8597.75976741101
2021-02-09,8722.154528814486
2021-02-10,8749.141623377076
2021-02-11,8820.734742065022
2021-02-12,8660.48823654153
2021-02-13,8566.226885227034
2021-02-14,8494.060865685273
2021-02-15,8351.289964714873
2021-02-16,8262.028333146334
2021-02-17,8130.166833342267
2021-02-18,8057.9623674174345
2021-02-19,8101.695973246494
2021-02-20,8057.892429592471
2021-02-21,8016.049717501036
2021-02-22,7922.905474144226
2021-02-23,7849.056966572863
2021-02-24,7986.1500359196925
2021-02-25,8033.439347807871
2021-02-26,8068.507240407513
2021-02-27,7962.370432483358
2021-02-28,8035.346130134937
2021-03-01,7927.159031368411
2021-03-02,7888.935996026284
2021-03-03,8043.408731295581
2021-03-04,8088.451742927168
2021-03-05,8106.877153098901
2021-03-06,8166.742955238351
2021-03-07,8278.742295394353
2021-03-08,8370.139581044072
2021-03-09,8279.423362747533
2021-03-10,8124.465755865742
2021-03-11,8064.491940210007
2021-03-12,7989.569866860639
2021-03-13,7897.204956305102
2021-03-14,8037.114907954801
2021-03-15,8158.111302418603
2021-03-16,8097.636163408759
2021-03-17,8147.983593700112
2021-03-18,8113.968011385577
2021-03-19,8248.513046679647
2021-03-20,8234.936605448465
2021-03-21,8157.488728505579
2021-03-22,8074.813398501591
2021-03-23,8094.634847780858
2021-03-24,8017.81404603771
2021-03-25,8044.941835658202
2021-03-26,8172.960314037232
2021-03-27,8140.072486873243
2021-03-28,8048.682512232433
2021-03-29,8208.863401535438
2021-03-30,8211.991403275959
2021-03-31,8077.613467660362
2021-04-01,7931.284713054282
2021-04-02,7807.4453576471915
2021-04-03,7847.246477913003
2021-04-04,7938.927228443737
2021-04-05,7914.208574082259
2021-04-06,7776.035263269398
2021-04-07,7739.213959164751
2021-04-08,7892.79753962052
2021-04-09,7901.989284875165
2021-04-10,8050.887536564734
2021-04-11,8167.071408891344
2021-04-12,8007.480633755678
2021-04-13,8078.177661514641
2021-04-14,8136.8932072720845
2021-04-15,8148.926152487043
2021-04-16,8072.921180179166
2021-04-17,8118.44011975321
2021-04-18,7992.296503020803
2021-04-19,7971.441484662693
2021-04-20,7956.685933977741
2021-04-21,8101.120766262622
2021-04-22,8222.913968676969
2021-04-23,8145.088709488138
2021-04-24,8145.2796671996775
2021-04-25,8040.5808550552465
